ID,X,Y
1,539102.0,631641.0
1,539102.0,631640.0
1,539102.0,631647.0
1,539102.0,631646.0
1,539102.0,631645.0
1,539102.0,631644.0
1,539102.0,631639.0
1,539102.0,631638.0
1,539102.0,631637.0
1,538832.0,631423.0
1,539037.0,631264.0
0,539045.0,631475.0
1,539004.0,631519.0
0,539045.0,631476.0
1,538832.0,631424.0
1,539004.0,631480.0
1,539004.0,631479.0
1,539053.0,631714.0
1,539053.0,631713.0
1,539094.0,631691.0
1,539094.0,631690.0
1,539094.0,631689.0
1,539094.0,631693.0
1,539094.0,631692.0
1,539094.0,631683.0
1,539004.0,631522.0
1,539004.0,631523.0
1,539004.0,631520.0
1,539004.0,631521.0
1,538824.0,631423.0
1,538824.0,631422.0
0,539053.0,631739.0
0,538783.0,631422.0
0,538783.0,631421.0
1,539029.0,631328.0
1,539029.0,631327.0
1,539086.0,631691.0
1,539086.0,631690.0
1,539086.0,631689.0
1,539086.0,631688.0
1,539086.0,631692.0
0,539045.0,631691.0
0,539045.0,631692.0
1,539127.0,631764.0
1,539127.0,631765.0
1,539127.0,631762.0
1,539127.0,631763.0
1,539037.0,631622.0
1,539037.0,631623.0
1,539037.0,631621.0
1,538980.0,631365.0
1,538980.0,631366.0
0,538980.0,631387.0
0,539209.0,631761.0
0,538898.0,631469.0
1,539078.0,631694.0
0,539209.0,631760.0
0,538898.0,631470.0
1,539078.0,631693.0
0,539209.0,631763.0
0,538898.0,631471.0
1,539078.0,631692.0
0,539209.0,631762.0
1,538898.0,631416.0
1,539021.0,631362.0
1,539021.0,631363.0
1,539021.0,631360.0
1,539021.0,631361.0
1,539021.0,631366.0
1,539021.0,631367.0
1,539021.0,631364.0
1,539021.0,631365.0
0,538898.0,631473.0
0,538898.0,631474.0
0,539070.0,631526.0
1,539119.0,631763.0
1,539119.0,631762.0
1,539119.0,631761.0
1,539119.0,631760.0
1,539119.0,631765.0
1,539119.0,631764.0
1,539119.0,631735.0
1,539119.0,631734.0
0,539234.0,631416.0
1,539119.0,631733.0
0,539234.0,631415.0
1,539119.0,631739.0
1,539119.0,631738.0
1,539119.0,631737.0
1,539119.0,631736.0
1,539119.0,631741.0
1,539119.0,631740.0
1,539070.0,631695.0
1,539070.0,631694.0
1,539111.0,631603.0
1,539111.0,631602.0
1,538890.0,631418.0
1,539111.0,631601.0
1,538890.0,631419.0
1,539111.0,631600.0
1,539111.0,631607.0
1,539111.0,631606.0
1,539111.0,631605.0
1,539111.0,631604.0
1,539111.0,631598.0
1,539111.0,631609.0
0,539111.0,631701.0
0,539111.0,631700.0
1,539111.0,631691.0
0,539152.0,631652.0
1,539111.0,631695.0
1,539111.0,631694.0
1,539111.0,631693.0
1,539111.0,631692.0
0,539152.0,631651.0
1,539111.0,631713.0
1,539070.0,631699.0
1,539070.0,631698.0
1,539070.0,631697.0
1,539070.0,631696.0
1,539070.0,631700.0
1,539029.0,631755.0
0,539029.0,631758.0
0,539029.0,631756.0
0,539029.0,631757.0
1,539021.0,631666.0
1,539111.0,631734.0
1,539111.0,631733.0
1,539111.0,631732.0
0,539152.0,631702.0
1,539103.0,631639.0
1,539103.0,631637.0
1,539103.0,631636.0
1,539103.0,631643.0
1,539103.0,631642.0
1,539103.0,631641.0
1,539103.0,631640.0
1,539103.0,631646.0
1,539103.0,631645.0
1,539103.0,631644.0
1,539062.0,631707.0
1,539062.0,631706.0
1,539062.0,631704.0
1,539062.0,631711.0
1,539062.0,631710.0
1,539062.0,631709.0
1,539062.0,631708.0
1,539062.0,631713.0
1,539062.0,631712.0
1,538833.0,631423.0
1,538833.0,631424.0
1,539005.0,631479.0
1,539005.0,631522.0
1,539005.0,631523.0
1,539005.0,631520.0
1,539005.0,631521.0
1,539005.0,631526.0
1,539005.0,631527.0
1,539005.0,631524.0
1,539005.0,631525.0
0,539046.0,631475.0
1,539005.0,631519.0
0,539046.0,631476.0
1,539005.0,631480.0
1,539038.0,631265.0
0,539054.0,631739.0
0,539054.0,631740.0
1,539095.0,631691.0
1,539095.0,631690.0
1,539095.0,631693.0
1,539095.0,631692.0
1,539054.0,631715.0
1,539054.0,631712.0
1,539054.0,631713.0
1,538825.0,631423.0
1,538825.0,631422.0
1,538825.0,631424.0
1,539087.0,631691.0
1,539087.0,631690.0
1,539087.0,631689.0
1,539087.0,631688.0
1,539087.0,631692.0
1,539030.0,631327.0
1,539030.0,631331.0
1,539030.0,631328.0
1,539038.0,631627.0
1,539038.0,631628.0
1,539038.0,631622.0
1,539038.0,631623.0
1,539038.0,631621.0
0,538981.0,631387.0
0,538981.0,631389.0
0,539210.0,631761.0
0,538981.0,631388.0
0,538981.0,631390.0
0,539210.0,631762.0
0,539071.0,631527.0
1,539022.0,631360.0
1,538981.0,631366.0
1,539235.0,631415.0
0,539235.0,631414.0
1,539120.0,631740.0
1,539120.0,631735.0
1,539120.0,631734.0
0,539071.0,631528.0
1,539112.0,631603.0
1,538891.0,631417.0
1,539112.0,631602.0
1,538891.0,631418.0
1,539112.0,631601.0
1,539112.0,631600.0
1,539112.0,631607.0
1,539112.0,631606.0
1,539112.0,631605.0
1,539112.0,631604.0
